  360  -90      4.700000
  360  -85      4.664156
  360  -80      4.654330
  360  -75      4.718070
  360  -70      4.800000
  360  -65      4.900000
  360  -60      5.000000
  360  -55      5.116734
  360  -50      5.300000
  360  -45      5.687993
  360  -40      6.060294
  360  -35      6.511847
  360  -30      6.998018
  360  -25      7.600000
  360  -20      8.000000
  360  -15      8.541132
  360  -10      9.231618
  360   -5      9.950000
  360    0     10.459560
  360    5     10.700000
  360   10     10.200000
  360   15      9.231316
  360   20      8.570468
  360   25      7.944638
  360   30      7.466968
  360   35      6.879181
  360   40      6.261847
  360   45      5.579827
  360   50      5.000000
  360   55      4.650000
  360   60      4.425457
  360   65      4.282920
  360   70      4.200000
  360   75      4.119512
  360   80      4.094959
  360   85      4.141245
  360   90      4.250000
  355  -90      4.700000
  355  -85      4.665935
  355  -80      4.657735
  355  -75      4.685715
  355  -70      4.781035
  355  -65      4.870222
  355  -60      4.999875
  355  -55      5.153239
  355  -50      5.396445
  355  -45      5.673614
  355  -40      6.034357
  355  -35      6.470944
  355  -30      6.890956
  355  -25      7.450000
  355  -20      7.800000
  355  -15      8.200000
  355  -10      8.793933
  355   -5      9.500000
  355    0     10.050000
  355    5     10.300000
  355   10     10.100000
  355   15      9.500000
  355   20      8.850000
  355   25      8.084839
  355   30      7.490961
  355   35      6.768539
  355   40      6.200000
  355   45      5.485235
  355   50      4.970000
  355   55      4.624526
  355   60      4.327500
  355   65      4.204277
  355   70      4.167140
  355   75      4.110803
  355   80      4.095925
  355   85      4.141752
  355   90      4.250000
  350  -90      4.700000
  350  -85      4.667569
  350  -80      4.660552
  350  -75      4.654593
  350  -70      4.739183
  350  -65      4.843055
  350  -60      4.979284
  350  -55      5.139706
  350  -50      5.373528
  350  -45      5.644009
  350  -40      5.983900
  350  -35      6.365735
  350  -30      6.734871
  350  -25      7.246364
  350  -20      7.634535
  350  -15      8.068725
  350  -10      8.683334
  350   -5      9.150000
  350    0      9.600000
  350    5      9.800000
  350   10      9.800000
  350   15      9.300000
  350   20      8.590520
  350   25      7.961808
  350   30      7.444041
  350   35      6.680698
  350   40      6.165308
  350   45      5.485075
  350   50      4.930846
  350   55      4.527180
  350   60      4.242130
  350   65      4.137592
  350   70      4.138083
  350   75      4.091764
  350   80      4.098350
  350   85      4.143040
  350   90      4.250000
  345  -90      4.700000
  345  -85      4.669065
  345  -80      4.662809
  345  -75      4.624619
  345  -70      4.698593
  345  -65      4.821770
  345  -60      4.953347
  345  -55      5.116713
  345  -50      5.332860
  345  -45      5.586074
  345  -40      5.898101
  345  -35      6.229682
  345  -30      6.580112
  345  -25      6.995702
  345  -20      7.436448
  345  -15      7.873670
  345  -10      8.341671
  345   -5      8.615440
  345    0      8.800000
  345    5      8.930000
  345   10      9.000000
  345   15      8.600000
  345   20      8.226019
  345   25      7.700000
  345   30      7.250000
  345   35      6.634264
  345   40      6.050000
  345   45      5.441767
  345   50      4.930000
  345   55      4.506159
  345   60      4.173446
  345   65      4.085746
  345   70      4.113796
  345   75      4.076844
  345   80      4.102214
  345   85      4.145099
  345   90      4.250000
  340  -90      4.700000
  340  -85      4.670434
  340  -80      4.664552
  340  -75      4.595657
  340  -70      4.659040
  340  -65      4.771924
  340  -60      4.930644
  340  -55      5.090037
  340  -50      5.279082
  340  -45      5.500048
  340  -40      5.781772
  340  -35      6.113354
  340  -30      6.464862
  340  -25      6.848621
  340  -20      7.157498
  340  -15      7.505994
  340  -10      7.900000
  340   -5      8.000000
  340    0      8.060000
  340    5      8.100000
  340   10      8.000000
  340   15      7.900000
  340   20      7.650000
  340   25      7.300000
  340   30      6.900000
  340   35      6.242411
  340   40      5.795726
  340   45      5.299878
  340   50      4.839426
  340   55      4.435985
  340   60      4.124790
  340   65      4.051036
  340   70      4.095173
  340   75      4.066537
  340   80      4.107488
  340   85      4.147912
  340   90      4.250000
  335  -90      4.700000
  335  -85      4.671692
  335  -80      4.665842
  335  -75      4.567530
  335  -70      4.620233
  335  -65      4.719532
  335  -60      4.867194
  335  -55      5.019234
  335  -50      5.171804
  335  -45      5.353495
  335  -40      5.649178
  335  -35      5.956316
  335  -30      6.322121
  335  -25      6.629214
  335  -20      6.844827
  335  -15      7.200000
  335  -10      7.350000
  335   -5      7.350000
  335    0      7.320000
  335    5      7.270000
  335   10      7.220000
  335   15      7.050000
  335   20      6.900000
  335   25      6.541298
  335   30      6.327229
  335   35      5.803942
  335   40      5.540000
  335   45      5.091537
  335   50      4.723616
  335   55      4.357203
  335   60      4.098525
  335   65      4.035048
  335   70      4.083000
  335   75      4.061261
  335   80      4.114128
  335   85      4.151460
  335   90      4.250000
  330  -90      4.700000
  330  -85      4.672856
  330  -80      4.666754
  330  -75      4.540031
  330  -70      4.581837
  330  -65      4.666805
  330  -60      4.795094
  330  -55      4.908265
  330  -50      5.041273
  330  -45      5.198978
  330  -40      5.480293
  330  -35      5.755627
  330  -30      6.060000
  330  -25      6.324651
  330  -20      6.450000
  330  -15      6.600000
  330  -10      6.470000
  330   -5      6.320000
  330    0      6.170000
  330    5      6.120000
  330   10      6.090000
  330   15      6.100000
  330   20      6.100000
  330   25      5.950000
  330   30      5.766968
  330   35      5.421409
  330   40      5.230000
  330   45      4.915551
  330   50      4.580846
  330   55      4.274753
  330   60      4.095898
  330   65      4.038565
  330   70      4.077909
  330   75      4.061331
  330   80      4.122078
  330   85      4.155712
  330   90      4.250000
  325  -90      4.700000
  325  -85      4.673946
  325  -80      4.667375
  325  -75      4.542892
  325  -70      4.586387
  325  -65      4.666942
  325  -60      4.766779
  325  -55      4.856754
  325  -50      4.967867
  325  -45      5.099441
  325  -40      5.334912
  325  -35      5.650000
  325  -30      5.900000
  325  -25      6.070000
  325  -20      6.136104
  325  -15      6.143721
  325  -10      6.050000
  325   -5      5.869130
  325    0      5.700000
