  360  -90      6.290000
  360  -85      7.403250
  360  -80      8.651600
  360  -75      9.939051
  360  -70     11.009000
  360  -65     12.150050
  360  -60     13.418500
  360  -55     14.314700
  360  -50     14.725400
  360  -45     14.949740
  360  -40     15.770270
  360  -35     17.660600
  360  -30     19.196300
  360  -25     20.622950
  360  -20     21.967600
  360  -15     23.329750
  360  -10     24.764600
  360   -5     25.944350
  360    0     25.631600
  360    5     24.337700
  360   10     23.416700
  360   15     22.482050
  360   20     21.528300
  360   25     19.808550
  360   30     17.000000
  360   35     13.000000
  360   40     11.948740
  360   45     11.135070
  360   50     10.509180
  360   55     10.033790
  360   60      9.681200
  360   65      9.262950
  360   70      8.910600
  360   75      8.700650
  360   80      8.516400
  360   85      8.421850
  360   90      8.452900
  355  -90      6.290000
  355  -85      7.330350
  355  -80      8.508550
  355  -75      9.764423
  355  -70     10.831650
  355  -65     12.004500
  355  -60     13.286700
  355  -55     14.198150
  355  -50     14.629750
  355  -45     14.576660
  355  -40     15.690750
  355  -35     17.544080
  355  -30     19.321300
  355  -25     20.795150
  355  -20     22.232000
  355  -15     23.603200
  355  -10     25.063850
  355   -5     26.586450
  355    0     26.596700
  355    5     25.234400
  355   10     24.038950
  355   15     22.567780
  355   20     20.990150
  355   25     18.866580
  355   30     15.000000
  355   35     12.500000
  355   40     11.757880
  355   45     10.988510
  355   50     10.401080
  355   55      9.960387
  355   60      9.639997
  355   65      9.186200
  355   70      8.857000
  355   75      8.672375
  355   80      8.501801
  355   85      8.410126
  355   90      8.452900
  350  -90      6.290000
  350  -85      7.249400
  350  -80      8.340500
  350  -75      9.523951
  350  -70     10.595100
  350  -65     11.761700
  350  -60     13.008000
  350  -55     13.923200
  350  -50     14.355600
  350  -45     14.017800
  350  -40     15.000000
  350  -35     17.155930
  350  -30     19.367100
  350  -25     20.898450
  350  -20     22.435700
  350  -15     23.852250
  350  -10     25.478600
  350   -5     27.318550
  350    0     27.924400
  350    5     26.699200
  350   10     25.235000
  350   15     23.554900
  350   20     21.182400
  350   25     17.945300
  350   30     13.500000
  350   35     12.000000
  350   40     11.463780
  350   45     10.771690
  350   50     10.245230
  350   55      9.854836
  350   60      9.577600
  350   65      9.129801
  350   70      8.818400
  350   75      8.647449
  350   80      8.489500
  350   85      8.399750
  350   90      8.452900
  345  -90      6.290000
  345  -85      7.161475
  345  -80      8.151150
  345  -75      9.222900
  345  -70     10.269150
  345  -65     11.407500
  345  -60     12.586650
  345  -55     13.444070
  345  -50     13.861000
  345  -45     13.324070
  345  -40     14.214920
  345  -35     16.431300
  345  -30     19.177600
  345  -25     20.997720
  345  -20     22.707200
  345  -15     24.130830
  345  -10     25.649850
  345   -5     27.122920
  345    0     28.004500
  345    5     27.550900
  345   10     26.133550
  345   15     24.450420
  345   20     21.682600
  345   25     16.000000
  345   30     12.802500
  345   35     11.857790
  345   40     11.105640
  345   45     10.520630
  345   50     10.077630
  345   55      9.754835
  345   60      9.534323
  345   65      9.083975
  345   70      8.784400
  345   75      8.625100
  345   80      8.480000
  345   85      8.391075
  345   90      8.452900
  340  -90      6.290000
  340  -85      7.069050
  340  -80      7.951200
  340  -75      8.890850
  340  -70      9.895600
  340  -65     11.000450
  340  -60     12.100100
  340  -55     12.838600
  340  -50     13.258500
  340  -45     13.046290
  340  -40     13.900170
  340  -35     16.163260
  340  -30     18.803300
  340  -25     21.093350
  340  -20     22.940200
  340  -15     24.232000
  340  -10     25.511500
  340   -5     26.441100
  340    0     26.990600
  340    5     26.745400
  340   10     25.772600
  340   15     24.158550
  340   20     21.221200
  340   25     13.500000
  340   30     12.000000
  340   35     11.272240
  340   40     10.682290
  340   45     10.220910
  340   50      9.874659
  340   55      9.629792
  340   60      9.473900
  340   65      9.034550
  340   70      8.751200
  340   75      8.604900
  340   80      8.472700
  340   85      8.384050
  340   90      8.452900
  335  -90      6.290000
  335  -85      6.972275
  335  -80      7.751650
  335  -75      8.571800
  335  -70      9.541050
  335  -65     10.604770
  335  -60     11.655550
  335  -55     12.343450
  335  -50     12.818550
  335  -45     12.843090
  335  -40     13.708070
  335  -35     15.808520
  335  -30     18.434300
  335  -25     20.896650
  335  -20     22.735550
  335  -15     23.877350
  335  -10     24.978550
  335   -5     25.549200
  335    0     25.749800
  335    5     25.581020
  335   10     24.830250
  335   15     23.319950
  335   20     18.000000
  335   25     13.000000
  335   30     11.621880
  335   35     11.032670
  335   40     10.534290
  335   45     10.128660
  335   50      9.811609
  335   55      9.576428
  335   60      9.415852
  335   65      8.985050
  335   70      8.718500
  335   75      8.587175
  335   80      8.467751
  335   85      8.378625
  335   90      8.452900
  330  -90      6.290000
  330  -85      6.868700
  330  -80      7.563400
  330  -75      8.287200
  330  -70      9.228400
  330  -65     10.226750
  330  -60     11.223200
  330  -55     11.998200
  330  -50     12.563400
  330  -45     12.708240
  330  -40     13.556070
  330  -35     15.991670
  330  -30     18.045300
  330  -25     20.268400
  330  -20     21.836900
  330  -15     23.002900
  330  -10     23.958500
  330   -5     24.432250
  330    0     25.070600
  330    5     24.800800
  330   10     23.934500
  330   15     21.923200
  330   20     13.000000
  330   25     11.800000
  330   30     11.249680
  330   35     10.781160
  330   40     10.367630
  330   45     10.017050
  330   50      9.731375
  330   55      9.509151
  330   60      9.347331
  330   65      8.935450
  330   70      8.687000
  330   75      8.571800
  330   80      8.464900
  330   85      8.374550
  330   90      8.452900
  325  -90      6.290000
  325  -85      6.767000
  325  -80      7.386100
  325  -75      8.030000
  325  -70      8.930850
  325  -65      9.832575
  325  -60     10.739450
  325  -55     11.629850
  325  -50     12.216500
  325  -45     12.542070
  325  -40     13.427400
  325  -35     15.611250
  325  -30     17.923050
  325  -25     19.583250
  325  -20     20.749300
  325  -15     22.222180
  325  -10     23.156250
  325   -5     23.616830
  325    0     24.007850
  325    5     23.708970
  325   10     22.680050
  325   15     17.000000
  325   20     12.500000
  325   25     11.500000
  325   30     10.914820
  325   35     10.542850
  325   40     10.200940
  325   45      9.899215
  325   50      9.642854
  325   55      9.433803
  325   60      9.272041
  325   65      8.887100
  325   70      8.659050
  325   75      8.560024
  325   80      8.463900
  325   85      8.371775
  325   90      8.452900
  320  -90      6.290000
  320  -85      6.669700
  320  -80      7.167200
  320  -75      7.780850
  320  -70      8.618700
  320  -65      9.415051
  320  -60     10.199600
  320  -55     11.129700
  320  -50     11.800600
  320  -45     12.176450
  320  -40     13.036700
  320  -35     14.855950
  320  -30     17.114500
  320  -25     18.712100
  320  -20     19.895900
  320  -15     21.598650
  320  -10     22.271400
  320   -5     22.539800
  320    0     22.633300
  320    5     22.643900
  320   10     20.794800
  320   15     13.000000
  320   20     11.600000
  320   25     11.000000
  320   30     10.634950
  320   35     10.334600
  320   40     10.048340
  320   45      9.786013
  320   50      9.553958
  320   55      9.355878
  320   60      9.193634
  320   65      8.840500
  320   70      8.635700
  320   75      8.552400
  320   80      8.464800
  320   85      8.370100
  320   90      8.452900
  315  -90      6.290000
  315  -85      6.578100
  315  -80      6.950150
  315  -75      7.534650
  315  -70      8.285900
  315  -65      8.994274
  315  -60      9.655700
  315  -55     10.524900
  315  -50     11.181100
  315  -45     11.623370
  315  -40     12.566100
  315  -35     14.000470
  315  -30     15.935550
  315  -25     17.584980
  315  -20     18.917750
  315  -15     20.312370
  315  -10     21.038150
  315   -5     21.151370
  315    0     20.966550
  315    5     19.482820
  315   10     15.000000
  315   15     12.300000
  315   20     11.500000
  315   25     10.800000
  315   30     10.418040
  315   35     10.166540
  315   40      9.919675
  315   45      9.685884
  315   50      9.471333
  315   55      9.280288
  315   60      9.115533
  315   65      8.795675
  315   70      8.617950
  315   75      8.550526
  315   80      8.467500
  315   85      8.369400
  315   90      8.452900
  310  -90      6.290000
  310  -85      6.492200
  310  -80      6.738100
  310  -75      7.300900
  310  -70      7.947800
  310  -65      8.589600
  310  -60      9.169400
  310  -55      9.887550
  310  -50     10.457800
  310  -45     10.952450
  310  -40     11.955500
  310  -35     13.294700
  310  -30     14.485800
  310  -25     15.858750
  310  -20     17.397100
  310  -15     18.419500
  310  -10     18.906800
  310   -5     18.791150
  310    0     18.130300
  310    5     13.500000
  310   10     12.200000
  310   15     11.500000
  310   20     11.000000
  310   25     10.600000
  310   30     10.266020
  310   35     10.043840
  310   40      9.821280
  310   45      9.604995
  310   50      9.400290
  310   55      9.211236
  310   60      9.040833
  310   65      8.756500
  310   70      8.606900
  310   75      8.554600
  310   80      8.472100
  310   85      8.369500
  310   90      8.452900
  305  -90      6.290000
  305  -85      6.410275
  305  -80      6.556400
  305  -75      7.059275
  305  -70      7.633600
  305  -65      8.211876
  305  -60      8.753100
  305  -55      9.328725
  305  -50      9.862600
  305  -45     10.771430
  305  -40     11.971200
  305  -35     12.901150
  305  -30     13.771050
  305  -25     14.622830
  305  -20     15.800000
  305  -15     16.500000
  305  -10     17.038250
  305   -5     16.752270
  305    0     15.334550
  305    5     12.895100
  305   10     11.935250
  305   15     11.400000
  305   20     10.900000
  305   25     10.500000
  305   30     10.177460
  305   35      9.968448
  305   40      9.756863
  305   45      9.547611
  305   50      9.344897
  305   55      9.152182
  305   60      8.972228
